"DayOfWeek","Avg_Heating_Load","Avg_Cooling_Load"
"Friday",1844.30769230769,0.0769230769230769
"Monday",2399.58333333333,2
"Saturday",249.076923076923,1
"Sunday",233.333333333333,1.25
"Thursday",1900.53846153846,0.153846153846154
"Tuesday",2131.76923076923,1.92307692307692
"Wednesday",1936.76923076923,0.923076923076923
