mes,xmlns:xsi,xsi:noNamespaceSchemaLocation,dia,Dia,hora,Hora,Meteoros,Dir.Med._a_2200cm,Humedad._a_110cm,Irradia.._a_260cm,Nivel2._a_450cm,Precip.._a_150cm,Presion._a_150cm,Sig.Dir._a_2200cm,Sig.Vel._a_2200cm,Tem.Aire._a_110cm,Vel.Max._a_2200cm,Vel.Med._a_2200cm
,http://www.w3.org/2001/XMLSchema-instance,C03A_2024_3.xsd,,2024-03-01,,0:00,,295.6,83.1,0.96,-0.84,0,1019.11,28.13,1.67,7.96,9.7,4.24
,,,,,,0:10,,287.3,80.1,0.83,-0.89,0,1019,19.23,1.46,7.92,9.11,4.71
,,,,,,0:20,,285.3,78.59,0.73,-0.88,0,1018.87,25.77,1.77,7.87,8.53,3.75
,,,,,,0:30,,281.6,77.94,0.68,-0.9,0,1018.8,20,1.39,7.84,7.55,3.88
,,,,,,0:40,,292.7,79.92,0.51,-0.89,0,1018.76,17.73,1.06,7.74,7.06,2.74
,,,,,,0:50,,281.8,81.8,0.49,-0.87,0,1018.8,19.15,0.98,7.66,3.72,1.36
,,,,,,1:00,,211.2,82.7,0.65,-0.86,0,1018.81,56.46,0.62,7.52,2.25,0.85
,,,,,,1:10,,221.1,80.1,1.39,-0.83,0,1018.75,46.43,0.86,7.71,4.21,1.38
,,,,,,1:20,,189.5,80.1,0.51,-0.78,0,1018.84,25.65,0.43,7.81,2.35,1.21
,,,,,,1:30,,165.3,80.8,1.28,-0.71,0,1018.84,18.63,0.42,7.8,2.84,1.58
,,,,,,1:40,,172.1,80.2,1.74,-0.67,0,1018.8,26.01,0.47,7.92,3.04,1.58
,,,,,,1:50,,160.5,82.4,1.96,-0.61,0,1018.69,13.02,0.34,7.9,2.65,1.79
,,,,,,2:00,,165.5,80.2,2.04,-0.53,0,1018.52,12.17,0.51,7.96,2.74,1.68
,,,,,,2:10,,162.9,80.4,1.09,-0.43,0,1018.38,14.67,0.61,8.02,2.65,1.54
,,,,,,2:20,,169.7,80.8,1.14,-0.35,0,1018.43,12.34,0.38,7.9,2.94,1.99
,,,,,,2:30,,154,80.8,1.74,-0.27,0,1018.24,8.41,0.29,8.08,3.14,2.22
,,,,,,2:40,,160.1,78.48,1.7,-0.16,0,1018.13,15.86,0.42,8.21,3.43,2.02
,,,,,,2:50,,172.3,77.84,1.26,-0.04,0,1018.06,16.57,0.4,8.21,2.74,1.52
,,,,,,3:00,,152.1,78.01,0.74,0.08,0,1017.89,9.38,0.37,8.29,3.23,2.33
,,,,,,3:10,,158.3,76.66,0.5,0.2,0,1017.78,22.44,0.53,8.37,4.21,2.32
,,,,,,3:20,,145.1,76.67,0.5,0.29,0,1017.62,9.55,0.58,8.29,2.84,1.29
,,,,,,3:30,,144.3,76.21,0.51,0.4,0,1017.49,9.48,0.42,8.24,2.16,1.27
,,,,,,3:40,,51.88,74.39,0.5,0.53,0,1017.35,58.63,0.38,8.21,2.06,0.28
,,,,,,3:50,,161.6,74.42,0.51,0.64,0,1017.21,43.79,0.34,8.12,1.18,0.25
,,,,,,4:00,,133,78.24,0.51,0.74,0,1017.08,24.43,0.5,7.88,2.25,0.97
,,,,,,4:10,,135,79.08,0.51,0.86,0,1017.02,11.7,0.61,7.82,3.82,2.13
,,,,,,4:20,,138.8,80.3,0.51,0.95,0,1016.93,12.61,0.54,7.8,4.51,3.15
,,,,,,4:30,,142.6,80.9,1.22,1.06,0,1016.75,10.64,0.74,7.75,6.08,4.29
,,,,,,4:40,,145,83.2,1.54,1.18,0,1016.73,7.69,0.64,7.59,5.98,4.48
,,,,,,4:50,,142.4,80,0.7,1.26,0,1016.66,8.69,0.61,7.74,6.08,4.24
,,,,,,5:00,,141.7,78.81,0.54,1.32,0,1016.52,8.63,0.6,7.75,5.78,3.59
,,,,,,5:10,,136.6,77.24,0.54,1.42,0,1016.34,9.32,0.51,7.81,5.59,3.88
,,,,,,5:20,,139.2,75.67,0.54,1.49,0,1016.12,9.95,0.58,7.85,5.59,3.87
,,,,,,5:30,,143.4,74.37,0.55,1.53,0,1015.93,11.43,0.62,7.86,6.37,4.36
,,,,,,5:40,,150.7,72.78,0.55,1.61,0,1015.85,7.37,0.59,7.9,5.98,4.48
,,,,,,5:50,,148.1,70.93,0.97,1.64,0,1015.76,11.63,0.76,7.94,6.96,4.58
,,,,,,6:00,,152.2,67.16,1.56,1.64,0,1015.62,13.44,0.96,8.15,8.13,5.14
,,,,,,6:10,,149.5,65.3,1.44,1.73,0,1015.41,11.47,0.86,8.28,8.04,5.48
,,,,,,6:20,,147.1,63.79,1.28,1.79,0,1015.25,14.14,1.08,8.37,7.84,5.02
,,,,,,6:30,,158.6,58.76,1.36,1.77,0,1015.18,12.67,1.6,8.41,10.09,5.77
,,,,,,6:40,,161,58.76,2.1,1.73,0,1015.04,13.42,1.34,8.46,9.41,6.06
,,,,,,6:50,,158,58.73,3.23,1.74,0,1014.9,12.29,1.3,8.43,10.78,6.59
,,,,,,7:00,,163.5,56.85,6.55,1.76,0,1014.91,13.13,1.34,8.51,9.9,6.08
,,,,,,7:10,,166.3,57.09,8.6,1.73,0,1014.92,13.35,1.29,8.51,10.19,6.62
,,,,,,7:20,,169.3,55.32,12.89,1.69,0,1014.95,18.61,2.19,8.57,12.05,5.38
,,,,,,7:30,,177.5,55.56,22.39,1.64,0,1014.92,16.6,1.51,8.53,10.29,4.8
,,,,,,7:40,,175.1,55.46,22.59,1.58,0,1014.94,14.89,1.25,8.59,9.11,5.16
,,,,,,7:50,,165.9,55.91,23.51,1.55,0,1014.77,13.21,1.31,8.73,10.09,6.09
,,,,,,8:00,,174.3,55.17,27.12,1.51,0,1014.66,14.4,1.52,8.73,10.98,5.89
,,,,,,8:10,,167.3,55.21,26.74,1.43,0,1014.61,13.28,1.94,8.86,11.86,7.06
,,,,,,8:20,,159.8,54.86,34.13,1.34,0,1014.54,9.19,1.24,9.04,11.37,7.96
,,,,,,8:30,,168.3,54.37,45.22,1.29,0,1014.51,9.96,1.13,9.14,10,6.54
,,,,,,8:40,,174,53.59,62.41,1.24,0,1014.42,12.01,1.01,9.2,9.02,5.76
,,,,,,8:50,,168.8,54.4,58.32,1.15,0,1014.31,11.11,1.14,9.26,9.41,5.48
,,,,,,9:00,,171.8,54.57,72.34,1.05,0,1014.29,13.13,1.03,9.27,8.82,5.51
,,,,,,9:10,,172.7,54.15,94.4,0.94,0,1014.15,11.85,1.31,9.43,8.92,5.7
,,,,,,9:20,,165.6,55.09,105.3,0.84,0,1013.88,13.51,1.53,9.48,11.66,7.07
,,,,,,9:30,,165.5,55.27,124.9,0.75,0,1013.71,14.23,1.68,9.59,13.62,7.17
,,,,,,9:40,,171.8,54.42,174.8,0.66,0,1013.6,13.14,1.56,9.78,13.92,8.19
,,,,,,9:50,,169.3,55.05,368.3,0.56,0,1013.42,12.85,1.79,10.09,13.52,8
,,,,,,10:00,,160.1,55.75,336.6,0.43,0,1013.25,14.02,1.64,10.34,14.11,8.96
,,,,,,10:10,,153.1,56.79,261.1,0.31,0,1013.02,10.95,1.47,10.41,13.92,9.38
,,,,,,10:20,,152.7,57.15,238.4,0.2,0,1012.85,11.14,1.83,10.59,14.9,9.76
,,,,,,10:30,,158.1,56.53,497.9,0.1,0,1012.8,12.23,1.48,10.9,14.11,9.45
,,,,,,10:40,,154.7,56.97,304.3,0.03,0,1012.71,9.95,1.86,11.2,16.46,9.66
,,,,,,10:50,,160.2,56.2,294.1,-0.06,0,1012.69,10.44,1.42,11.39,12.74,7.68
,,,,,,11:00,,158.2,54.95,441.5,-0.2,0,1012.45,12.32,2.02,11.75,13.43,7.35
