Date,EE_BC1,EE_BC2,EE_BC3,Q_BC1,T_SAL_BC1,T_ENT_BC1,ET_BC1_Frio,ET_BC1_Calor,Q_BC2,T_SAL_BC2,T_ENT_BC2,ET_BC2_Frio,ET_BC2_Calor,Q_BC3,T_SAL_BC3,T_ENT_BC3,ET_BC3_Frio,ET_BC3_Calor,Q_TER,T_IMP_TER,T_RET_TER,ET_TER_Frio,ET_TER_Calor,EE_TER,EE_BC1_TER,EE_BC2_TER
07-02-2024;18:20:00.000,"20.041","42.6","2895.589","0","45.14","45.24","0.01","0.056","0","45.94","45.96","0","0.22","0","15.49","15.62","0.712","1.291","32.38","15.54","15.5","0.196","0","21.436","0","0"
07-02-2024;18:30:00.000,"20.041","42.6","2895.589","0","43.71","45.12","0.01","0.056","0","44.56","43.24","0","0.22","0","15.45","15.6","0.712","1.291","32.62","15.4","15.35","0.196","0","21.821","0","0"
07-02-2024;18:40:00.000,"20.041","42.6","2895.589","0","42.52","44.64","0.01","0.056","0","43.27","40.92","0","0.22","0","15.36","15.55","0.712","1.291","32.3","15.6","15.6","0.196","0","22.204","0","0"
07-02-2024;18:50:00.000,"20.041","42.6","2895.589","0","41.53","44.01","0.01","0.056","0","42.28","39.17","0","0.22","0","15.28","15.46","0.712","1.291","32.6","15.64","15.63","0.196","0","22.588","0","0"
07-02-2024;19:00:00.000,"20.581","42.6","2895.589","16.86","44.35","42.22","0.01","0.058","0","41.74","37.81","0","0.22","0","15.28","15.43","0.712","1.291","34.34","14.9","15.69","0.198","0","22.973","0","0"
07-02-2024;19:10:00.000,"22.753","45.72","2895.589","16.79","48.51","44.71","0.01","0.068","16.19","46.27","44.82","0","0.22","0","15.25","15.4","0.712","1.291","36.78","13.86","15.72","0.206","0","23.365","0","0"
07-02-2024;19:20:00.000,"23.875","50.48","2895.589","0","45.61","45.29","0.01","0.075","0","46.42","46.29","0","0.25","0","15.26","15.44","0.712","1.291","32.48","15.67","15.62","0.213","0","23.758","0","0"
07-02-2024;19:30:00.000,"23.875","50.48","2895.589","0","44.28","45.13","0.01","0.075","0","45","43.97","0","0.25","0","15.25","15.45","0.712","1.291","32.27","15.48","15.43","0.213","0","24.14","0","0"
07-02-2024;19:40:00.000,"23.875","50.48","2895.589","0","42.98","44.76","0.01","0.075","0","43.84","41.73","0","0.25","0","15.22","15.45","0.712","1.291","32.71","15.58","15.59","0.213","0","24.525","0","0"
07-02-2024;19:50:00.000,"23.875","50.48","2895.589","0","41.96","44.28","0.01","0.075","0","42.94","39.86","0","0.25","0","15.23","15.47","0.712","1.291","32.73","15.7","15.68","0.213","0","24.909","0","0"
07-02-2024;20:00:00.000,"23.95","50.48","2895.589","16.91","43.22","42.3","0.01","0.075","0","42.09","38.22","0","0.25","0","15.23","15.5","0.712","1.291","33.55","15.4","15.71","0.213","0","25.295","0","0"
07-02-2024;20:10:00.000,"25.643","50.48","2895.589","16.82","46.37","42.93","0.01","0.082","0","41.56","37.15","0","0.25","0","15.26","15.55","0.712","1.291","34.33","14.43","15.77","0.219","0","25.683","0","0"
07-02-2024;20:20:00.000,"27.635","58.02","2895.589","0.02","46.19","46","0.01","0.093","0","46.47","46.52","0","0.27","0","15.26","15.58","0.712","1.291","35.19","15.71","15.74","0.23","0","26.081","0","0"
07-02-2024;20:30:00.000,"27.635","58.02","2895.589","0","44.7","45.21","0.01","0.093","0","45.26","45.34","0","0.27","0","15.29","15.63","0.712","1.291","32.75","15.58","15.54","0.23","0","26.465","0","0"
07-02-2024;20:40:00.000,"27.635","58.02","2895.589","0","43.39","45","0.01","0.093","0","43.92","42.39","0","0.27","0","15.34","15.73","0.712","1.291","32.57","15.55","15.55","0.23","0","26.85","0","0"
07-02-2024;20:50:00.000,"27.635","58.02","2895.589","0","42.16","44.44","0.01","0.093","0","42.98","40.43","0","0.27","0","15.38","15.8","0.712","1.291","32.59","15.73","15.71","0.23","0","27.234","0","0"
07-02-2024;21:00:00.000,"27.635","58.02","2895.589","0","41.41","43.92","0.01","0.093","0","42.21","38.85","0","0.27","0","15.43","15.88","0.712","1.291","32.7","15.77","15.75","0.23","0","27.62","0","0"
07-02-2024;21:10:00.000,"27.966","58.02","2895.589","16.95","44","42.24","0.01","0.094","0","41.51","37.5","0","0.27","0","15.46","15.91","0.712","1.291","34.32","15.12","15.79","0.23","0","28.005","0","0"
07-02-2024;21:20:00.000,"29.959","59.32","2895.589","16.78","47.55","43.86","0.01","0.103","15.99","45.16","44.06","0","0.28","0","15.5","15.96","0.712","1.291","36.49","14.16","15.82","0.238","0","28.396","0","0"
07-02-2024;21:30:00.000,"31.373","65.54","2895.589","0","45.81","45.53","0.01","0.111","0","46.49","46.33","0","0.3","0","15.55","15.99","0.712","1.291","32.99","15.79","15.73","0.246","0","28.79","0","0"
07-02-2024;21:40:00.000,"31.373","65.54","2895.589","0","44.56","45.34","0.01","0.111","0","44.98","44.29","0","0.3","0","15.6","16.06","0.712","1.291","32.8","15.59","15.55","0.246","0","29.173","0","0"
07-02-2024;21:50:00.000,"31.373","65.54","2895.589","0","43.24","44.92","0.01","0.111","0","43.93","41.99","0","0.3","0","15.67","16.12","0.712","1.291","32.9","15.66","15.66","0.246","0","29.558","0","0"
07-02-2024;22:00:00.000,"31.373","65.54","2895.589","0","42.28","44.39","0.01","0.111","0","43.12","40.1","0","0.3","0","15.72","16.19","0.712","1.291","32.62","15.76","15.75","0.246","0","29.942","0","0"
07-02-2024;22:10:00.000,"31.373","65.54","2895.589","0","41.49","43.97","0.01","0.111","0","42.12","38.43","0","0.3","0","15.76","16.22","0.712","1.291","32.44","15.78","15.77","0.246","0","30.325","0","0"
