Position;Timestamp;Date;Hour;Part Number;Object Name;Location Name;Sin;Address;Com Port;Group;Type;A L1 [A];A L2 [A];A L3 [A];An [A];Run Hour Meter [h];Run Hour Meter (-) [h];Hz [Hz];PF L1;PF L2;PF L3;PF sys;Phase sequence;THD A L1 [%];THD A L2 [%];THD A L3 [%];THD V L1-N [%];THD V L2-N [%];THD V L3-N [%];V L1-L2 [V];V L1-N [V];V L2-L3 [V];V L2-N [V];V L3-L1 [V];V L3-N [V];V L-L sys [V];V L-N sys [V];kVA L1 [kVA];kVA L2 [kVA];kVA L3 [kVA];kVA sys [kVA];kWh AC [kWh];kWh (-) AC [kWh];kW L1 [kW];kW L2 [kW];kW L3 [kW];kW sys [kW];kvarh [kvarh];kvar L1 [kvar];kvar L2 [kvar];kvar L3 [kvar];kvar sys [kvar],col_Position;Timestamp;Date;Hour;Part Number;Object Name;Location Name;Sin;Address;Com Port;Group;Type;A L1 [A];A L2 [A];A L3 [A];An [A];Run Hour Meter [h];Run Hour Meter (-) [h];Hz [Hz];PF L1;PF L2;PF L3;PF sys;Phase sequence;THD A L1 [%];THD A L2 [%];THD A L3 [%];THD V L1-N [%];THD V L2-N [%];THD V L3-N [%];V L1-L2 [V];V L1-N [V];V L2-L3 [V];V L2-N [V];V L3-L1 [V];V L3-N [V];V L-L sys [V];V L-N sys [V];kVA L1 [kVA];kVA L2 [kVA];kVA L3 [kVA];kVA sys [kVA];kWh AC [kWh];kWh (-) AC [kWh];kW L1 [kW];kW L2 [kW];kW L3 [kW];kW sys [kW];kvarh [kvarh];kvar L1 [kvar];kvar L2 [kvar];kvar L3 [kvar];kvar sys [kvar]
"12;1713958200;24/04/2024;13:30:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""CNT"";""NULL"";""NULL"";""NULL"";""NULL"";""22850,86"";""0,00"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""506332,5000"";""0,0000"";""NULL"";""NULL"";""NULL"";""NULL"";""19235,4000"";""NULL"";""NULL"";""NULL"";""NULL""",NA
"13;1713958500;24/04/2024;13:35:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""AVG"";""42,003"";""36,911"";""32,624"";""13,394"";""NULL"";""NULL"";""50,0"";""0,963"";""0,968"";""0,959"";""0,964"";""-1,000000"";""16,2"";""19,5"";""18,0"";""2,0"";""1,7"";""1,7"";""394,0"";""227,0"";""396,9"";""227,6"";""394,9"";""229,8"";""395,3"";""228,1"";""9,5469"";""8,4452"";""7,4825"";""25,4364"";""NULL"";""NULL"";""9,1973"";""8,1362"";""7,2023"";""24,5417"";""NULL"";""-2,5363"";""-2,0836"";""-2,0666"";""-6,6736""",NA
"14;1713958500;24/04/2024;13:35:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""CNT"";""NULL"";""NULL"";""NULL"";""NULL"";""22850,93"";""0,00"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""506334,6000"";""0,0000"";""NULL"";""NULL"";""NULL"";""NULL"";""19235,4000"";""NULL"";""NULL"";""NULL"";""NULL""",NA
"15;1713958800;24/04/2024;13:40:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""AVG"";""42,843"";""36,409"";""33,019"";""12,806"";""NULL"";""NULL"";""50,0"";""0,964"";""0,965"";""0,965"";""0,965"";""-1,000000"";""16,4"";""19,8"";""17,9"";""1,9"";""1,6"";""1,5"";""398,1"";""229,4"";""400,8"";""230,1"";""399,4"";""232,4"";""399,4"";""230,6"";""9,8180"";""8,3056"";""7,6710"";""25,8926"";""NULL"";""NULL"";""9,4877"";""8,1020"";""7,4184"";""25,0160"";""NULL"";""-2,5791"";""-2,1391"";""-1,9700"";""-6,6968""",NA
"16;1713958800;24/04/2024;13:40:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""CNT"";""NULL"";""NULL"";""NULL"";""NULL"";""22851,02"";""0,00"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""506336,7000"";""0,0000"";""NULL"";""NULL"";""NULL"";""NULL"";""19235,4000"";""NULL"";""NULL"";""NULL"";""NULL""",NA
"17;1713959100;24/04/2024;13:45:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""AVG"";""42,948"";""37,112"";""32,917"";""13,742"";""NULL"";""NULL"";""50,0"";""0,963"";""0,965"";""0,957"";""0,962"";""-1,000000"";""16,1"";""19,7"";""18,5"";""1,8"";""1,6"";""1,5"";""404,4"";""232,9"";""407,5"";""233,9"";""405,3"";""236,0"";""405,6"";""234,2"";""10,0116"";""8,7179"";""7,7204"";""26,4701"";""NULL"";""NULL"";""9,6355"";""8,3923"";""7,4511"";""25,4935"";""NULL"";""-2,6712"";""-2,2278"";""-2,1966"";""-7,1137""",NA
"18;1713959100;24/04/2024;13:45:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""CNT"";""NULL"";""NULL"";""NULL"";""NULL"";""22851,11"";""0,00"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""506338,8000"";""0,0000"";""NULL"";""NULL"";""NULL"";""NULL"";""19235,4000"";""NULL"";""NULL"";""NULL"";""NULL""",NA
"19;1713959400;24/04/2024;13:50:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""AVG"";""45,106"";""36,043"";""31,163"";""16,181"";""NULL"";""NULL"";""50,0"";""0,972"";""0,964"";""0,947"";""0,963"";""-1,000000"";""14,8"";""19,5"";""19,6"";""1,9"";""1,6"";""1,7"";""397,2"";""228,6"";""400,3"";""229,7"";""398,7"";""232,4"";""398,6"";""230,2"";""10,3157"";""8,3052"";""7,2405"";""25,7921"";""NULL"";""NULL"";""10,0289"";""7,9871"";""6,8673"";""24,8788"";""NULL"";""-2,3606"";""-2,1456"";""-2,2833"";""-6,7943""",NA
"20;1713959400;24/04/2024;13:50:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""CNT"";""NULL"";""NULL"";""NULL"";""NULL"";""22851,18"";""0,00"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""NULL"";""506340,9000"";""0,0000"";""NULL"";""NULL"";""NULL"";""NULL"";""19235,4000"";""NULL"";""NULL"";""NULL"";""NULL""",NA
"21;1713959700;24/04/2024;13:55:00;""EM210-MODBUS-ESTANDAR--3P"";""GENERAL"";""GENERAL"";""NULL"";""1"";""COM 2"";""GENERAL"";""AVG"";""45,493"";""37,631"";""33,589"";""14,010"";""NULL"";""NULL"";""50,0"";""0,964"";""0,963"";""0,973"";""0,967"";""-1,000000"";""16,1"";""20,2"";""19,1"";""2,5"";""2,3"";""2,3"";""396,9"";""228,5"";""399,8"";""229,4"";""397,9"";""231,8"";""398,1"";""229,9"";""10,3895"";""8,6432"";""7,7331"";""26,7889"";""NULL"";""NULL"";""10,0410"";""8,3233"";""7,5794"";""25,9336"";""NULL"";""-2,7100"";""-2,2753"";""-1,7010"";""-6,7031""",NA
